BuyDate,BuyPrice,Sell_5d,Return_5d(%),Goal5_5d,Goal10_5d,Sell_10d,Return_10d(%),Goal5_10d,Goal10_10d,Sell_15d,Return_15d(%),Goal5_15d,Goal10_15d,Sell_20d,Return_20d(%),Goal5_20d,Goal10_20d,Sell_25d,Return_25d(%),Goal5_25d,Goal10_25d,Sell_30d,Return_30d(%),Goal5_30d,Goal10_30d,Sell_40d,Return_40d(%),Goal5_40d,Goal10_40d
2015-08-26,72.4,71.11,-1.78,0,0,70.16,-3.09,0,0,72.02,-0.52,0,0,72.49,0.12,0,0,72.2,-0.28,0,0,75.86,4.78,1,0,79.89,10.35,1,1
2016-01-12,71.9,67.49,-6.13,0,0,64.5,-10.29,0,0,63.06,-12.29,0,0,49.96,-30.51,0,0,54.04,-24.84,0,0,59.38,-17.41,0,0,71.69,-0.29,0,0
2016-01-21,68.6,62.03,-9.58,0,0,64.84,-5.48,0,0,50.33,-26.63,0,0,57.12,-16.73,0,0,59.52,-13.24,0,0,73.11,6.57,1,1,72.0,4.96,1,0
2016-02-01,64.84,48.97,-24.48,0,0,50.53,-22.07,0,0,56.53,-12.82,0,0,71.74,10.64,1,1,71.23,9.86,1,1,70.27,8.37,1,1,76.14,17.43,1,1
2016-02-03,63.06,49.96,-20.77,0,0,54.04,-14.3,0,0,59.38,-5.84,0,0,74.3,17.82,1,1,71.69,13.69,1,1,70.16,11.26,1,1,78.6,24.64,1,1
2016-02-17,54.78,57.56,5.07,1,0,71.91,31.27,1,1,72.88,33.04,1,1,71.39,30.32,1,1,71.26,30.08,1,1,76.84,40.27,1,1,77.67,41.79,1,1
2016-12-05,73.68,70.02,-4.97,0,0,69.13,-6.18,0,0,68.1,-7.57,0,0,71.36,-3.15,0,0,81.7,10.88,1,1,82.04,11.35,1,1,82.67,12.2,1,1
2016-12-27,68.1,71.36,4.79,0,0,81.7,19.97,1,1,82.04,20.47,1,1,84.1,23.49,1,1,82.67,21.4,1,1,86.0,26.28,1,1,89.66,31.66,1,1
2017-01-03,68.38,74.35,8.73,1,0,82.11,20.08,1,1,84.73,23.91,1,1,82.38,20.47,1,1,85.8,25.48,1,1,87.06,27.32,1,1,84.0,22.84,1,1
2017-12-05,99.2,102.49,3.32,1,0,102.93,3.76,1,0,103.06,3.89,0,0,109.25,10.13,1,1,114.24,15.16,1,1,114.11,15.03,1,1,117.49,18.44,1,1
2018-10-12,128.31,127.7,-0.48,0,0,120.65,-5.97,0,0,132.84,3.53,1,0,139.93,9.06,1,1,134.23,4.61,1,0,140.23,9.29,1,1,162.94,26.99,1,1
2019-08-08,192.79,185.99,-3.53,0,0,193.37,0.3,0,0,187.65,-2.67,0,0,172.3,-10.63,0,0,167.59,-13.07,0,0,174.97,-9.24,0,0,173.88,-9.81,0,0
2020-03-10,150.31,124.02,-17.49,0,0,132.39,-11.92,0,0,130.22,-13.37,0,0,131.8,-12.31,0,0,146.07,-2.82,0,0,145.82,-2.99,0,0,152.28,1.31,0,0
2020-03-19,126.74,145.28,14.63,1,1,122.37,-3.45,0,0,145.41,14.73,1,1,149.3,17.8,1,1,144.96,14.38,1,1,146.66,15.72,1,1,154.3,21.75,1,1
2021-05-14,228.77,231.42,1.16,0,0,228.72,-0.02,0,0,225.65,-1.36,0,0,232.28,1.53,0,0,236.93,3.57,0,0,242.91,6.18,1,0,232.99,1.84,0,0
2022-01-06,250.63,249.41,-0.49,0,0,245.69,-1.97,0,0,238.18,-4.97,0,0,236.79,-5.52,0,0,232.77,-7.13,0,0,214.47,-14.43,0,0,224.41,-10.46,0,0
2022-01-28,238.18,236.79,-0.58,0,0,232.77,-2.27,0,0,214.47,-9.95,0,0,229.05,-3.83,0,0,224.41,-5.78,0,0,220.91,-7.25,0,0,244.23,2.54,0,0
2022-05-10,183.67,173.34,-5.62,0,0,158.77,-13.56,0,0,156.56,-14.76,0,0,160.04,-12.87,0,0,142.81,-22.25,0,0,142.19,-22.58,0,0,148.01,-19.42,0,0
2022-05-13,182.29,165.99,-8.94,0,0,158.79,-12.89,0,0,158.86,-12.85,0,0,142.23,-21.98,0,0,138.6,-23.97,0,0,144.25,-20.87,0,0,140.05,-23.17,0,0
2022-05-25,164.51,169.44,3.0,0,0,153.83,-6.49,0,0,136.86,-16.81,0,0,152.05,-7.57,0,0,142.35,-13.47,0,0,145.54,-11.53,0,0,145.44,-11.59,0,0
