Ticker,EventDate,CloseAtEvent,Close_Day5,Close_Day10,Close_Day15,Close_Day20,R5(%),R10(%),R15(%),R20(%)
XOM,2020-09-16,30.72,27.94,27.89,27.22,27.75,-9.05,-9.2,-11.4,-9.68
XOM,2020-09-28,28.69,27.41,28.14,27.15,27.1,-4.45,-1.93,-5.35,-5.55
XOM,2020-10-05,27.41,28.14,27.15,27.1,27.62,2.64,-0.95,-1.16,0.74
XOM,2021-07-20,48.05,49.65,49.97,49.95,48.43,3.34,4.0,3.97,0.79
XOM,2021-08-23,47.86,48.08,47.55,47.57,46.75,0.46,-0.66,-0.6,-2.31
XOM,2022-09-27,78.11,86.79,89.28,91.83,96.46,11.11,14.3,17.56,23.49
XOM,2023-03-20,94.81,97.91,107.47,106.75,108.22,3.27,13.35,12.59,14.14
XOM,2023-12-08,94.54,95.82,96.78,97.21,94.66,1.36,2.37,2.82,0.12
XOM,2024-12-31,105.64,105.01,109.33,106.71,104.92,-0.59,3.49,1.01,-0.69
XOM,2025-04-09,104.83,103.24,107.64,104.81,105.1,-1.52,2.67,-0.02,0.26
MO,2020-09-28,26.75,27.13,27.78,26.91,26.49,1.41,3.85,0.59,-0.98
MO,2020-10-29,25.32,25.63,27.13,27.51,27.73,1.19,7.13,8.65,9.49
MO,2020-11-02,25.06,26.22,28.49,27.61,27.81,4.63,13.71,10.2,10.99
MO,2021-11-03,33.22,33.06,32.82,32.57,31.93,-0.47,-1.2,-1.96,-3.89
MO,2021-12-01,31.76,32.89,33.96,35.3,35.58,3.56,6.91,11.14,12.02
MO,2022-06-10,37.49,35.38,33.73,32.58,33.04,-5.62,-10.03,-13.09,-11.87
MO,2022-06-24,33.89,32.99,32.76,33.01,34.23,-2.65,-3.34,-2.6,0.99
MO,2022-07-07,32.65,32.51,33.4,34.36,34.55,-0.43,2.3,5.24,5.84
MO,2023-08-23,36.64,37.83,37.15,38.31,37.27,3.25,1.39,4.56,1.74
MO,2023-10-04,36.18,36.97,37.46,37.2,34.66,2.18,3.53,2.81,-4.2
MO,2023-10-30,34.96,35.21,34.75,35.48,36.33,0.72,-0.62,1.47,3.9
