BuyDate,BuyPrice,Sell_5d,Return_5d(%),High_5d,Goal5_5d,Goal10_5d,Sell_10d,Return_10d(%),High_10d,Goal5_10d,Goal10_10d,Sell_15d,Return_15d(%),High_15d,Goal5_15d,Goal10_15d,Sell_20d,Return_20d(%),High_20d,Goal5_20d,Goal10_20d,Sell_25d,Return_25d(%),High_25d,Goal5_25d,Goal10_25d,Sell_30d,Return_30d(%),High_30d,Goal5_30d,Goal10_30d,Sell_40d,Return_40d(%),High_40d,Goal5_40d,Goal10_40d
2015-08-26,72.4,71.11,-1.78,71.57,0,0,70.16,-3.09,70.77,0,0,72.02,-0.52,73.27,0,0,72.49,0.12,72.55,0,0,72.2,-0.28,72.29,0,0,75.86,4.78,76.2,1,0,79.89,10.35,81.03,1,1
2016-01-12,71.9,67.49,-6.13,68.25,0,0,64.5,-10.29,66.47,0,0,63.06,-12.29,63.5,0,0,49.96,-30.51,51.93,0,0,54.04,-24.84,55.64,0,0,59.38,-17.41,61.4,0,0,71.69,-0.29,73.94,0,0
2016-01-21,68.6,62.03,-9.58,63.9,0,0,64.84,-5.48,65.08,0,0,50.33,-26.63,50.63,0,0,57.12,-16.73,58.19,0,0,59.52,-13.24,61.18,0,0,73.11,6.57,75.5,1,1,72.0,4.96,72.31,1,0
2016-02-01,64.84,48.97,-24.48,52.3,0,0,50.53,-22.07,51.63,0,0,56.53,-12.82,57.65,0,0,71.74,10.64,71.9,1,1,71.23,9.86,72.51,1,1,70.27,8.37,71.99,1,1,76.14,17.43,76.6,1,1
2016-02-03,63.06,49.96,-20.77,51.93,0,0,54.04,-14.3,55.64,0,0,59.38,-5.84,61.4,0,0,74.3,17.82,74.44,1,1,71.69,13.69,73.94,1,1,70.16,11.26,71.93,1,1,78.6,24.64,78.94,1,1
2016-02-17,54.78,57.56,5.07,58.62,1,0,71.91,31.27,72.13,1,1,72.88,33.04,72.98,1,1,71.39,30.32,72.34,1,1,71.26,30.08,72.48,1,1,76.84,40.27,77.41,1,1,77.67,41.79,78.92,1,1
2016-12-05,73.68,70.02,-4.97,71.02,0,0,69.13,-6.18,69.43,0,0,68.1,-7.57,68.48,0,0,71.36,-3.15,71.45,0,0,81.7,10.88,81.77,1,1,82.04,11.35,82.97,1,1,82.67,12.2,83.25,1,1
2016-12-27,68.1,71.36,4.79,71.45,0,0,81.7,19.97,81.77,1,1,82.04,20.47,82.97,1,1,84.1,23.49,85.91,1,1,82.67,21.4,83.25,1,1,86.0,26.28,86.65,1,1,89.66,31.66,89.76,1,1
2017-01-03,68.38,74.35,8.73,75.0,1,0,82.11,20.08,82.24,1,1,84.73,23.91,85.18,1,1,82.38,20.47,84.42,1,1,85.8,25.48,87.0,1,1,87.06,27.32,87.15,1,1,84.0,22.84,85.48,1,1
2017-12-05,99.2,102.49,3.32,105.43,1,0,102.93,3.76,104.3,1,0,103.06,3.89,103.8,0,0,109.25,10.13,110.19,1,1,114.24,15.16,114.77,1,1,114.11,15.03,114.11,1,1,117.49,18.44,118.95,1,1
2018-10-12,128.31,127.7,-0.48,132.54,0,0,120.65,-5.97,125.07,0,0,132.84,3.53,140.4,1,0,139.93,9.06,144.99,1,1,134.23,4.61,136.42,1,0,140.23,9.29,141.15,1,1,162.94,26.99,165.42,1,1
2019-08-08,192.79,185.99,-3.53,187.1,0,0,193.37,0.3,194.16,0,0,187.65,-2.67,189.21,0,0,172.3,-10.63,177.5,0,0,167.59,-13.07,171.98,0,0,174.97,-9.24,175.52,0,0,173.88,-9.81,175.46,0,0
2020-03-10,150.31,124.02,-17.49,126.87,0,0,132.39,-11.92,136.96,0,0,130.22,-13.37,136.85,0,0,131.8,-12.31,140.86,0,0,146.07,-2.82,147.78,0,0,145.82,-2.99,146.88,0,0,152.28,1.31,155.0,0,0
2020-03-19,126.74,145.28,14.63,146.67,1,1,122.37,-3.45,127.76,0,0,145.41,14.73,148.85,1,1,149.3,17.8,150.32,1,1,144.96,14.38,145.73,1,1,146.66,15.72,151.0,1,1,154.3,21.75,156.75,1,1
2021-05-14,228.77,231.42,1.16,236.91,0,0,228.72,-0.02,233.0,0,0,225.65,-1.36,226.5,0,0,232.28,1.53,233.39,0,0,236.93,3.57,238.59,0,0,242.91,6.18,246.33,1,0,232.99,1.84,237.56,0,0
2022-01-06,250.63,249.41,-0.49,260.6,0,0,245.69,-1.97,253.14,0,0,238.18,-4.97,238.74,0,0,236.79,-5.52,240.23,0,0,232.77,-7.13,243.87,0,0,214.47,-14.43,218.34,0,0,224.41,-10.46,242.05,0,0
2022-01-28,238.18,236.79,-0.58,240.23,0,0,232.77,-2.27,243.87,0,0,214.47,-9.95,218.34,0,0,229.05,-3.83,231.73,0,0,224.41,-5.78,242.05,0,0,220.91,-7.25,229.22,0,0,244.23,2.54,246.18,0,0
2022-05-10,183.67,173.34,-5.62,176.68,0,0,158.77,-13.56,164.09,0,0,156.56,-14.76,162.27,0,0,160.04,-12.87,161.27,0,0,142.81,-22.25,145.42,0,0,142.19,-22.58,142.61,0,0,148.01,-19.42,148.23,0,0
2022-05-13,182.29,165.99,-8.94,170.4,0,0,158.79,-12.89,159.96,0,0,158.86,-12.85,165.82,0,0,142.23,-21.98,146.92,0,0,138.6,-23.97,143.69,0,0,144.25,-20.87,149.93,0,0,140.05,-23.17,140.48,0,0
2022-05-25,164.51,169.44,3.0,169.9,0,0,153.83,-6.49,159.51,0,0,136.86,-16.81,140.75,0,0,152.05,-7.57,152.12,0,0,142.35,-13.47,143.28,0,0,145.54,-11.53,147.28,0,0,145.44,-11.59,148.33,0,0
2022-06-15,142.81,142.19,-0.43,142.61,0,0,139.58,-2.26,143.96,0,0,148.01,3.64,148.23,0,0,140.71,-1.47,140.74,0,0,148.0,3.63,152.33,1,0,155.1,8.61,155.85,1,0,176.23,23.4,176.38,1,1
2022-06-17,139.38,148.05,6.22,153.08,1,0,146.37,5.02,146.52,1,0,137.78,-1.15,147.48,1,0,141.84,1.76,143.03,0,0,140.91,1.1,145.26,0,0,155.06,11.25,157.61,1,1,177.79,27.56,178.78,1,1
2023-09-29,214.85,213.63,-0.57,214.81,0,0,214.89,0.02,217.86,0,0,211.16,-1.72,214.48,0,0,206.01,-4.11,207.26,0,0,218.41,1.66,220.95,0,0,230.01,7.06,231.82,1,0,235.83,9.76,238.11,1,1
2023-10-06,213.63,214.89,0.59,217.86,0,0,211.16,-1.16,214.48,0,0,206.01,-3.57,207.26,0,0,218.41,2.24,220.95,0,0,230.01,7.67,231.82,1,0,231.66,8.44,232.88,1,0,269.22,26.02,272.9,1,1
2024-03-11,266.72,272.6,2.2,273.34,0,0,275.68,3.36,278.14,0,0,271.66,1.85,273.24,0,0,271.1,1.64,271.95,0,0,257.69,-3.39,260.2,0,0,256.82,-3.71,259.34,0,0,249.43,-6.48,251.22,0,0
2024-04-23,256.82,244.73,-4.71,248.76,0,0,249.43,-2.88,251.22,0,0,246.88,-3.87,248.96,0,0,258.86,0.79,259.9,0,0,211.58,-17.62,216.06,0,0,212.46,-17.27,215.57,0,0,214.59,-16.44,216.34,0,0
2024-05-02,250.85,245.96,-1.95,250.88,0,0,256.57,2.28,256.89,0,0,260.9,4.01,263.66,1,0,211.45,-15.71,213.06,0,0,215.56,-14.07,217.16,0,0,209.48,-16.49,210.88,0,0,224.72,-10.42,225.41,0,0
2024-06-07,215.56,209.48,-2.82,210.88,0,0,218.7,1.46,220.0,0,0,224.72,4.25,225.41,0,0,223.09,3.49,226.23,0,0,235.63,9.31,237.25,1,1,226.04,4.86,232.24,1,0,211.25,-2.0,214.04,0,0
