,Ticker,Close,Change,Div_Date,Pay_Date,PayAmount,Yields,QuarterPay,52WksMin,52WksMax,RSI,trailing/Forward EPS
0,BEN/SNP,$22.59,1.07%,2025-06-27,2025-07-11,$1.28,5.67%,$0.32/Share,$16.66,$22.86,62.06,0.69:2.6
1,ARE/SNP,$70.88,-0.48%,2025-06-30,2025-07-15,$5.28,7.45%,$1.32/Share,$67.83,$124.23,44.67,0.76:3.44
2,HST/SNP,$15.73,1.03%,2025-06-30,2025-04-15,$0.8,5.09%,$0.2/Share,$12.7,$18.49,55.92,0.96:0.97
3,FRT/SNP,$95.62,0.45%,2025-07-01,2025-07-15,$4.4,4.6%,$1.1/Share,$83.56,$115.07,50.13,3.48:3.07
4,O/SNP,$57.58,0.09%,2025-07-01,2025-07-15,$3.23,5.61%,$0.269/Share,$49.59,$62.32,60.46,1.1:1.59
5,BMY/SNP,$46.84,-0.83%,2025-07-03,2025-05-01,$2.48,5.29%,$0.62/Share,$38.18,$62.43,40.65,2.68:7.03
6,CPB/SNP,$31.85,0.09%,2025-07-03,2025-08-04,$1.56,4.9%,$0.39/Share,$31.82,$50.5,27.08,1.5:3.41
7,UDR/SNP,$41.12,0.34%,2025-07-10,2025-07-31,$1.72,4.18%,$0.43/Share,$37.69,$45.71,47.48,0.36:0.47
8,VZ/SNP,$41.67,-0.43%,2025-07-10,2025-08-01,$2.71,6.5%,$0.678/Share,$37.03,$45.76,35.26,4.2:4.73
9,MAA/SNP,$148.92,-0.05%,2025-07-15,2025-07-31,$6.06,4.07%,$1.515/Share,$133.38,$169.29,36.15,4.81:4.15
10,APA/SNP,$20.31,-2.26%,2025-07-22,2025-08-22,$1.0,4.92%,$0.25/Share,$13.8,$30.81,65.14,2.79:2.75
11,TGT/SNP,$95.12,0.11%,2025-08-13,2025-09-01,$4.5,4.73%,$1.12/Share,$87.76,$156.4,47.5,9.1:10.51
12,HPQ/SNP,$24.18,-0.45%,2025-09-10,2025-10-01,$1.16,4.79%,$0.289/Share,$21.63,$38.15,39.11,2.6:3.6
13,TTE,$62.03,-2.99%,2025-09-30,2025-07-11,$3.87,6.24%,$0.831/Share,$52.14,$68.02,57.39,5.97:8.13
