Ticker,EventDate,RSI,Price_Day0,Price_Day5,Price_Day10,Price_Day20,Price_Day30,PctChange_5Days,PctChange_10Days,PctChange_20Days,PctChange_30Days,Day0,Day1,Day2,Day3,Day4,Day5,Day6,Day7,Day8,Day9,Day10,Day11,Day12,Day13,Day14,Day15,Day16,Day17,Day18,Day19,Day20,Day21,Day22,Day23,Day24,Day25,Day26,Day27,Day28,Day29,Day30
XOM,2015-08-06,35.46,52.76,51.15,50.37,51.31,49.01,-3.06,-4.53,-2.76,-7.11,52.76,52.69,52.78,52.36,51.58,51.15,53.22,53.65,53.57,51.11,50.37,49.8,49.8,50.39,49.58,50.82,50.47,51.32,51.23,51.04,51.31,50.74,49.65,48.57,46.98,44.76,44.75,47.22,48.75,48.9,49.01
XOM,2015-08-26,37.66,49.58,51.04,46.98,47.2,47.8,2.95,-5.24,-4.81,-3.58,49.58,50.82,50.47,51.32,51.23,51.04,51.31,50.74,49.65,48.57,46.98,44.76,44.75,47.22,48.75,48.9,49.01,46.95,47.7,48.06,47.2,47.87,46.9,47.23,47.35,47.21,47.46,48.39,48.5,47.34,47.8
XOM,2016-08-02,30.67,63.48,62.74,60.3,58.47,58.97,-1.16,-5.0,-7.89,-7.1,63.48,63.59,63.39,63.16,62.8,62.74,62.85,61.64,61.19,60.78,60.3,59.47,57.4,58.19,58.49,58.48,58.54,59.23,59.3,58.26,58.47,59.23,59.21,59.28,59.41,59.95,59.2,59.33,59.14,59.35,58.97
XOM,2016-09-21,34.34,58.55,58.55,56.66,58.85,58.35,0.0,-3.24,0.51,-0.35,58.55,58.94,59.72,59.5,60.04,58.55,58.85,57.45,57.04,57.36,56.66,56.52,55.65,56.16,56.33,56.27,56.0,56.12,58.59,58.3,58.85,58.69,58.15,58.66,58.69,58.48,59.63,59.16,58.75,58.36,58.35
XOM,2017-02-09,32.65,57.8,57.72,56.67,56.21,56.64,-0.13,-1.95,-2.74,-2.0,57.8,57.88,58.05,58.23,58.17,57.72,57.06,56.42,56.76,56.82,56.67,56.3,55.93,56.18,56.64,56.97,56.85,57.08,56.49,56.12,56.21,55.55,56.14,55.66,55.97,55.82,56.99,57.18,56.6,56.86,56.64
XOM,2017-08-22,33.01,55.77,55.25,53.35,53.4,56.02,-0.94,-4.34,-4.25,0.44,55.77,55.58,55.54,55.41,55.58,55.25,54.72,54.73,54.6,54.2,53.35,53.62,53.44,53.69,53.6,53.4,53.68,53.5,53.49,53.24,53.4,53.57,54.0,55.12,55.29,55.14,55.45,55.62,55.81,56.03,56.02
XOM,2018-02-16,30.99,61.28,55.32,54.43,54.03,52.5,-9.71,-11.18,-11.83,-14.32,61.28,61.64,62.89,59.69,56.29,55.32,54.33,53.71,54.06,54.51,54.43,54.54,54.36,54.6,54.03,53.42,54.11,55.3,56.24,55.28,54.03,53.64,53.89,54.41,54.34,52.97,52.87,53.19,53.67,53.16,52.5
XOM,2018-02-22,32.7,59.69,54.06,54.6,54.41,52.89,-9.43,-8.53,-8.85,-11.38,59.69,56.29,55.32,54.33,53.71,54.06,54.51,54.43,54.54,54.36,54.6,54.03,53.42,54.11,55.3,56.24,55.28,54.03,53.64,53.89,54.41,54.34,52.97,52.87,53.19,53.67,53.16,52.5,53.09,53.59,52.89
XOM,2018-10-25,31.48,62.7,58.84,59.08,59.43,58.26,-6.17,-5.78,-5.21,-7.09,62.7,62.98,61.53,59.4,59.24,58.84,59.11,59.33,59.59,59.67,59.08,58.12,56.51,57.01,56.44,56.09,57.35,58.01,58.73,59.66,59.43,59.69,60.44,59.48,59.47,58.7,57.36,56.91,57.5,58.06,58.26
XOM,2018-10-30,38.54,59.4,59.59,57.01,59.48,55.51,0.31,-4.03,0.13,-6.55,59.4,59.24,58.84,59.11,59.33,59.59,59.67,59.08,58.12,56.51,57.01,56.44,56.09,57.35,58.01,58.73,59.66,59.43,59.69,60.44,59.48,59.47,58.7,57.36,56.91,57.5,58.06,58.26,56.6,57.04,55.51
